,Qtr,StateAbbreviation,Deaths,Cases,UnemploymentRate(%),Personal_Income_Change,GDP_growth_rate,State,Mask,Cases_p,Deaths_p,CFR,CFR_p
118,2020Q1,IL,107,5992,3.9732026143790846,3.8,-6.3,Illinois,"Yes, 6/26/2020",1074719,20119,1.7999999999999998,1.9
119,2020Q1,IN,61,2177,3.4644927536231886,3.1,-5.2,Indiana,"Yes, 07/27/2020",595760,9340,2.8000000000000003,1.6
120,2020Q1,KS,10,435,2.977142857142857,2.6,-3.5,Kansas,"Yes, 07/02/2020",262519,3525,2.3,1.3
121,2020Q1,KY,18,590,5.995277777777778,3.8,-5.0,Kentucky,"Yes, 07/09/2020",331982,3462,3.1,1.0
122,2020Q1,LA,240,5237,6.458333333333333,-0.6,-11.9,Louisiana,"Yes, 07/11/2020",369951,8253,4.6,2.1999999999999997
123,2020Q1,MA,89,6620,4.288095238095238,5.0,-4.3,Massachusetts,"Yes, 05/06/2020",473441,13705,1.3,2.9000000000000004
124,2020Q1,MD,18,1662,4.169444444444444,5.0,-3.6,Maryland,"Yes, 07/31/2020",328417,6596,1.0999999999999999,2.0
125,2020Q1,ME,5,303,4.627083333333333,5.0,-6.5,Maine,"Yes, 05/01/2020",33876,514,1.7000000000000002,1.5
126,2020Q1,MI,264,7629,5.375903614457831,0.6,-7.9,Michigan,"Yes, 10/05/2020",583846,14677,3.5000000000000004,2.5
127,2020Q1,MN,12,629,4.950574712643678,3.2,-6.8,Minnesota,"Yes, 07/25/2020",447417,6007,1.9,1.3
128,2020Q1,MO,15,1350,4.484637681159421,3.8,-5.1,Missouri,"No, nan",469352,6655,1.0999999999999999,1.4000000000000001
129,2020Q1,MP,0,2,,,,Northern Mariana Islands,,128,2,0.0,1.6
130,2020Q1,MS,20,937,6.050406504065041,4.5,-3.7,Mississippi,"No, nan",253932,5524,2.1,2.1999999999999997
131,2020Q1,MT,5,198,4.469047619047619,2.0,-4.8,Montana,"Yes, 07/15/2020",89584,1093,2.5,1.2
132,2020Q1,NC,10,1527,4.600666666666667,5.9,-3.5,North Carolina,"Yes, 06/24/2020",676315,8131,0.7000000000000001,1.2
133,2020Q1,ND,3,126,3.2603773584905658,2.5,-1.6,North Dakota,"Yes, 11/14/2020",95956,1406,2.4,1.5
134,2020Q1,NE,4,199,3.4154121863799283,4.0,-3.4,Nebraska,"No, nan",182393,1896,2.0,1.0
135,2020Q1,NH,3,367,2.9766666666666666,7.1,-2.2,New Hampshire,"Yes, 11/20/2020",57864,933,0.8,1.6
136,2020Q1,NJ,267,18696,4.650793650793651,5.4,-3.3,New Jersey,"Yes, 07-08-2020",631074,20458,1.4000000000000001,3.2
137,2020Q1,NM,5,315,6.059595959595959,5.1,-4.7,New Mexico,"Yes, 05/16/2020",164263,2960,1.6,1.7999999999999998
